c DIMACS syntax for problem in file: dat_files/blocks.dat
c 
c Reading file and encoding problem took: 0.123226 [s] 
c 
p cnf 	 304 	 18879 
1 0
2 0
3 0
4 0
-5 0
-6 0
-7 0
-8 0
-9 0
-10 0
-11 0
-12 0
-13 0
-14 0
-15 0
-16 0
-17 0
-18 0
-19 0
-20 0
301 0
302 0
303 0
304 0
-21 1 0
-21 4 0
-21 -1 0
-21 9 0
-21 -4 0
-21 10 0
-121 101 0
-121 104 0
-121 -101 0
-121 109 0
-121 -104 0
-121 110 0
-221 201 0
-221 204 0
-221 -201 0
-221 209 0
-221 -204 0
-221 210 0
-22 3 0
-22 8 0
-22 -3 0
-22 16 0
-22 -8 0
-22 12 0
-122 103 0
-122 108 0
-122 -103 0
-122 116 0
-122 -108 0
-122 112 0
-222 203 0
-222 208 0
-222 -203 0
-222 216 0
-222 -208 0
-222 212 0
-23 18 0
-23 12 0
-23 -18 0
-123 118 0
-123 112 0
-123 -118 0
-223 218 0
-223 212 0
-223 -218 0
-24 5 0
-24 8 0
-24 -5 0
-24 16 0
-24 -8 0
-24 10 0
-124 105 0
-124 108 0
-124 -105 0
-124 116 0
-124 -108 0
-124 110 0
-224 205 0
-224 208 0
-224 -205 0
-224 216 0
-224 -208 0
-224 210 0
-25 19 0
-25 12 0
-25 -19 0
-25 18 0
-25 -12 0
-25 10 0
-125 119 0
-125 112 0
-125 -119 0
-125 118 0
-125 -112 0
-125 110 0
-225 219 0
-225 212 0
-225 -219 0
-225 218 0
-225 -212 0
-225 210 0
-26 19 0
-26 12 0
-26 10 0
-26 -19 0
-26 -10 0
-126 119 0
-126 112 0
-126 110 0
-126 -119 0
-126 -110 0
-226 219 0
-226 212 0
-226 210 0
-226 -219 0
-226 -210 0
-27 7 0
-27 4 0
-27 8 0
-27 -7 0
-27 11 0
-27 -8 0
-27 12 0
-127 107 0
-127 104 0
-127 108 0
-127 -107 0
-127 111 0
-127 -108 0
-127 112 0
-227 207 0
-227 204 0
-227 208 0
-227 -207 0
-227 211 0
-227 -208 0
-227 212 0
-28 3 0
-28 8 0
-28 4 0
-28 -3 0
-28 15 0
-28 -4 0
-28 12 0
-128 103 0
-128 108 0
-128 104 0
-128 -103 0
-128 115 0
-128 -104 0
-128 112 0
-228 203 0
-228 208 0
-228 204 0
-228 -203 0
-228 215 0
-228 -204 0
-228 212 0
-29 1 0
-29 4 0
-29 12 0
-29 -1 0
-29 7 0
-29 -12 0
-29 10 0
-129 101 0
-129 104 0
-129 112 0
-129 -101 0
-129 107 0
-129 -112 0
-129 110 0
-229 201 0
-229 204 0
-229 212 0
-229 -201 0
-229 207 0
-229 -212 0
-229 210 0
-30 1 0
-30 4 0
-30 -1 0
-30 7 0
-30 10 0
-130 101 0
-130 104 0
-130 -101 0
-130 107 0
-130 110 0
-230 201 0
-230 204 0
-230 -201 0
-230 207 0
-230 210 0
-31 5 0
-31 8 0
-31 12 0
-31 -5 0
-31 3 0
-31 -12 0
-31 10 0
-131 105 0
-131 108 0
-131 112 0
-131 -105 0
-131 103 0
-131 -112 0
-131 110 0
-231 205 0
-231 208 0
-231 212 0
-231 -205 0
-231 203 0
-231 -212 0
-231 210 0
-32 14 0
-32 10 0
-32 4 0
-32 -14 0
-32 6 0
-32 -4 0
-132 114 0
-132 110 0
-132 104 0
-132 -114 0
-132 106 0
-132 -104 0
-232 214 0
-232 210 0
-232 204 0
-232 -214 0
-232 206 0
-232 -204 0
-33 20 0
-33 12 0
-33 4 0
-33 -20 0
-33 17 0
-33 -4 0
-33 8 0
-133 120 0
-133 112 0
-133 104 0
-133 -120 0
-133 117 0
-133 -104 0
-133 108 0
-233 220 0
-233 212 0
-233 204 0
-233 -220 0
-233 217 0
-233 -204 0
-233 208 0
-34 2 0
-34 10 0
-34 4 0
-34 -2 0
